,CountryCode,Value
81,DMA,0.0
82,DOM,2.8208844907394703
83,ECU,7.868140919109959
84,EGY,1.82184437597417
85,SLV,2.21683561040105
86,GNQ,1.9390840675846002
87,ERI,8.67980038573106
88,EST,7.5831251481981505
89,ETH,11.1782962356071
90,FJI,-3.05027611244088
91,FIN,2.5708177445216296
92,FRA,2.07922917455807
93,GAB,7.091753340780031
94,GMB,-4.3286690096397695
95,GEO,7.199999063298451
96,DEU,3.66000015503516
97,GHA,14.046002632334302
98,GRC,-9.13249415322949
99,GRD,0.7648245407443571
100,GTM,4.16204914263771
101,GIN,3.90876144969184
102,GNB,9.02865559427109
103,GUY,5.43712605818867
104,HTI,5.52373775433308
105,HND,3.83569066207508
106,HKG,4.81467572425889
107,HUN,1.75750167300053
108,ISL,1.9881208095168301
109,IND,6.63835345019071
110,IDN,6.1697842077098
111,IRN,3.74969048564793
112,IRQ,7.546471200426001
113,IRL,2.58808429929213
114,ISR,5.03018958373758
115,ITA,0.586819402557765
116,JAM,1.72321110393024
117,JPN,-0.45272483909097605
118,JOR,2.56080879892622
119,KAZ,7.49999999999966
120,KEN,6.11161346041284
121,KIR,2.74000776531092
122,KOR,3.68170466650844
123,KSV,4.6195783277850095
124,KWT,9.62843608199742
125,KGZ,5.95627437653896
126,LAO,8.03865268078816
127,LVA,6.21150074352244
128,LBN,2.0045863033018603
129,LSO,4.04854460984166
130,LBR,8.199998145976581
131,LBY,-62.075919584900106
132,LTU,6.04491002896621
133,LUX,2.56568544357441
134,MAC,21.2912616344375
135,MKD,2.33989228390124
136,MDG,1.4543921677091298
137,MWI,4.34749519278211
138,MYS,5.293784657337469
139,MDV,8.7093389296957
140,MLI,2.72358635657149
141,MLT,1.39999999999874
142,MHL,0.152739117886469
143,MRT,4.38544119117977
144,MUS,3.8862940347713
145,MEX,3.9195839325612
146,FSM,2.05056715082317
147,MDA,6.41435073842888
148,MNG,17.2907773522357
149,MNE,3.22845412196774
150,MAR,5.24577177699879
151,MOZ,7.11760663190503
152,NAM,5.09133819752299
153,NPL,3.4218282408747203
154,NLD,1.6636263443925
155,NZL,2.21841694753404
156,NIC,6.23159458776739
157,NER,2.31140021999371
158,NGA,4.88738661141304
159,NOR,0.968779709886419
160,OMN,-1.09102520889141
161,PAK,2.74840254954
162,PLW,8.31767571424338
163,PAN,10.7701948543322
164,PNG,10.6693289348034
165,PRY,4.34240708615224
166,PER,6.452215996079531
167,PHL,3.6597551388787504
168,POL,5.00851176058327
169,PRT,-1.8268523506265801
170,PRI,-1.89046303262099
171,QAT,13.3751764144462
172,ROM,1.0562944601189599
173,RUS,4.26417656571128
174,RWA,7.8519349411105
175,WSM,5.7367832526992
176,STP,4.828586113909309
177,SAU,9.95893280986544
178,SEN,1.76111804930498
179,SRB,1.40146573586644
180,SYC,7.89470585067909
181,SLE,4.53528431491274
182,SGP,6.207448727529499
183,SVK,2.8418730089487796
184,SVN,0.6493633668143131
185,SLB,12.928475033738199
186,ZAF,3.21245175505393
187,SSD,-4.6403167360085895
188,ESP,-1.0000804875138
189,LKA,8.4047017059806
190,KNA,1.6951159439093402
191,LCA,0.7018171882177171
192,VCT,-0.4236450567618279
193,SDN,-1.96772897878996
194,SUR,5.26720914888938
195,SWZ,1.3271718061006699
196,SWE,2.66440795069538
197,CHE,1.80455391510743
198,TJK,7.399999999995541
199,TZA,7.90450757234741
200,THA,0.833682448113152
201,TMP,9.528907922912211
202,TGO,4.8837639460034294
203,TON,2.01912477994661
204,TTO,0.00675987787153076
205,TUN,-1.9176243024360702
206,TUR,8.77274761512783
207,TKM,14.699347075513598
208,TUV,8.45332392649844
209,UGA,9.67322495921286
210,UKR,5.20000000926981
211,ARE,5.2077989108447005
212,GBR,1.97239856307874
213,USA,1.6014546724713898
214,URY,5.162133025797121
215,UZB,8.29999999908053
216,VUT,1.22322553548928
217,VEN,4.17642535923927
218,VNM,6.24030274887527
219,WBG,7.89297981943476
220,YEM,-15.0883930920055
221,ZMB,6.3384461468640705
222,ZWE,11.9054078922731
